"","p","replicate","betac","carrying","extinction_t","extinct","disease_gone","min_s","final_s","final_i"
"139",0.1,7,30,210,5.4600454852888,TRUE,FALSE,3,3,2
"140",0.1,7,34.37,210,4.11824342497422,TRUE,FALSE,1,1,4
"141",0.1,7,25,210,5.65489675302992,FALSE,FALSE,4,7,0
"142",0.1,8,30,210,3.9741955977514,TRUE,FALSE,4,4,1
"143",0.1,8,34.37,210,4.3518175113347,TRUE,FALSE,0,1,4
"144",0.1,8,25,210,7.03835593482251,TRUE,FALSE,2,2,3
"145",0.1,9,30,210,4.67960219984183,FALSE,FALSE,8,12,0
"146",0.1,9,34.37,210,3.59817416696683,TRUE,FALSE,2,3,2
"147",0.1,9,25,210,4.3050229216964,FALSE,FALSE,10,15,0
"148",0.1,10,30,210,5.02965953555973,FALSE,FALSE,5,7,0
"149",0.1,10,34.37,210,4.53655900111603,TRUE,FALSE,3,3,2
"150",0.1,10,25,210,9.56056117088585,FALSE,FALSE,2,10,0
"151",0.1,1,30,2100,0.517718851041122,FALSE,FALSE,1000,1029,0
"152",0.1,1,34.37,2100,10.9883182838997,TRUE,FALSE,2,2,3
"153",0.1,1,25,2100,0.12977292599745,FALSE,FALSE,1000,1029,0
"154",0.1,2,30,2100,7.45560922856522,TRUE,FALSE,2,2,3
"155",0.1,2,34.37,2100,9.08801065031054,TRUE,FALSE,3,3,2
"156",0.1,2,25,2100,9.97714638125628,FALSE,FALSE,8,12,0
"157",0.1,3,30,2100,11.4698847608851,TRUE,FALSE,3,4,1
"158",0.1,3,34.37,2100,10.9249140018174,TRUE,FALSE,3,3,2
"159",0.1,3,25,2100,8.72255196785591,FALSE,FALSE,21,29,0
"160",0.1,4,30,2100,11.7732028619191,FALSE,FALSE,5,9,0
"161",0.1,4,34.37,2100,11.1658437762173,TRUE,FALSE,2,2,3
"162",0.1,4,25,2100,10.1928745750077,TRUE,FALSE,3,3,2
"163",0.1,5,30,2100,10.0318907409368,FALSE,FALSE,7,7,0
"164",0.1,5,34.37,2100,9.78272678969503,TRUE,FALSE,3,3,2
"165",0.1,5,25,2100,10.3104476291877,TRUE,FALSE,4,5,0
"166",0.1,6,30,2100,8.81163392198057,TRUE,FALSE,4,4,1
"167",0.1,6,34.37,2100,9.90500326095969,TRUE,FALSE,3,3,2
"168",0.1,6,25,2100,11.3046414088363,FALSE,FALSE,3,8,0
"169",0.1,7,30,2100,10.5845454011534,TRUE,FALSE,3,3,2
"170",0.1,7,34.37,2100,10.8873076796071,TRUE,FALSE,3,3,2
"171",0.1,7,25,2100,10.0427092596569,TRUE,FALSE,2,2,3
"172",0.1,8,30,2100,14.2713322414755,FALSE,FALSE,5,9,0
"173",0.1,8,34.37,2100,8.34172726693607,FALSE,FALSE,8,10,0
"174",0.1,8,25,2100,10.1241543098518,TRUE,FALSE,3,3,2
"175",0.1,9,30,2100,12.9458019614777,TRUE,FALSE,2,3,2
"176",0.1,9,34.37,2100,10.221202187743,FALSE,FALSE,2,11,0
"177",0.1,9,25,2100,9.65954388960424,TRUE,FALSE,3,3,2
"178",0.1,10,30,2100,8.72306802742936,FALSE,FALSE,7,7,0
"179",0.1,10,34.37,2100,9.76489566867226,TRUE,FALSE,3,3,2
"180",0.1,10,25,2100,0.0923884203331384,FALSE,FALSE,1000,1035,0
"181",0.15,1,30,210,4.96207315310904,FALSE,FALSE,4,6,0
"182",0.15,1,34.37,210,5.74345560417201,TRUE,FALSE,3,4,1
"183",0.15,1,25,210,7.37224016595559,FALSE,FALSE,11,13,0
"184",0.15,2,30,210,4.19036388185607,TRUE,FALSE,3,3,2
"185",0.15,2,34.37,210,6.70442232011015,TRUE,FALSE,3,3,2
"186",0.15,2,25,210,5.49540522775585,FALSE,FALSE,8,10,0
"187",0.15,3,30,210,0.0837748079441469,FALSE,FALSE,101,106,0
"188",0.15,3,34.37,210,5.13605253616687,TRUE,FALSE,2,2,3
"189",0.15,3,25,210,13.2693228508063,FALSE,FALSE,5,6,0
"190",0.15,4,30,210,3.77356817599233,FALSE,FALSE,7,12,0
"191",0.15,4,34.37,210,7.86561663224143,TRUE,FALSE,2,2,3
"192",0.15,4,25,210,0.107439088308623,FALSE,FALSE,103,108,0
"193",0.15,5,30,210,4.3472196616477,FALSE,FALSE,10,11,0
"194",0.15,5,34.37,210,5.25729701610243,TRUE,FALSE,4,4,1
"195",0.15,5,25,210,4.99135025860379,TRUE,FALSE,3,4,1
"196",0.15,6,30,210,5.13171418795128,TRUE,FALSE,3,4,1
"197",0.15,6,34.37,210,4.36870277042719,FALSE,FALSE,1,6,0
"198",0.15,6,25,210,5.60513934747046,FALSE,FALSE,8,13,0
"199",0.15,7,30,210,3.53661549235473,FALSE,FALSE,12,14,0
"200",0.15,7,34.37,210,4.91684171558634,TRUE,FALSE,5,5,0
"201",0.15,7,25,210,9.08511441129744,TRUE,FALSE,3,3,2
"202",0.15,8,30,210,3.96194737760121,FALSE,FALSE,4,6,0
"203",0.15,8,34.37,210,4.13612431589731,FALSE,FALSE,5,8,0
"204",0.15,8,25,210,3.40053025535327,FALSE,FALSE,8,8,0
"205",0.15,9,30,210,6.34829649195238,TRUE,FALSE,2,2,3
"206",0.15,9,34.37,210,4.12018652692543,TRUE,FALSE,3,3,2
"207",0.15,9,25,210,4.50038500832621,FALSE,FALSE,10,10,0
"208",0.15,10,30,210,5.06509119352825,TRUE,FALSE,3,3,2
"209",0.15,10,34.37,210,4.96595793580995,TRUE,FALSE,3,3,2
"210",0.15,10,25,210,4.53936407455961,FALSE,FALSE,7,8,0
"211",0.15,1,30,2100,9.55265638288304,TRUE,FALSE,4,4,1
"212",0.15,1,34.37,2100,9.47625024745646,TRUE,FALSE,3,3,2
"213",0.15,1,25,2100,10.2516004983407,TRUE,FALSE,3,3,2
"214",0.15,2,30,2100,7.89003346554267,TRUE,FALSE,2,2,3
"215",0.15,2,34.37,2100,8.8524824804539,TRUE,FALSE,3,4,1
"216",0.15,2,25,2100,0.0671829388950072,FALSE,FALSE,1000,1033,0
"217",0.15,3,30,2100,9.17893919431163,FALSE,FALSE,20,20,0
"218",0.15,3,34.37,2100,10.2690178223198,TRUE,FALSE,4,4,1
"219",0.15,3,25,2100,9.54649930137515,FALSE,FALSE,7,9,0
"220",0.15,4,30,2100,9.38276302760776,FALSE,FALSE,5,10,0
"221",0.15,4,34.37,2100,8.73610674436098,TRUE,FALSE,3,3,2
"222",0.15,4,25,2100,9.82965636344741,TRUE,FALSE,1,1,4
"223",0.15,5,30,2100,9.22695702081992,TRUE,FALSE,3,3,2
"224",0.15,5,34.37,2100,9.32498984410541,TRUE,FALSE,4,4,1
"225",0.15,5,25,2100,16.3693493039621,TRUE,FALSE,1,1,4
"226",0.15,6,30,2100,9.77480709630006,TRUE,FALSE,4,5,0
"227",0.15,6,34.37,2100,10.8733151387329,TRUE,FALSE,3,3,2
"228",0.15,6,25,2100,9.07365559312788,FALSE,FALSE,3,10,0
"229",0.15,7,30,2100,9.6101768075361,FALSE,FALSE,6,10,0
"230",0.15,7,34.37,2100,11.7245661946622,TRUE,FALSE,4,4,1
"231",0.15,7,25,2100,9.72781582565206,FALSE,FALSE,5,6,0
"232",0.15,8,30,2100,10.5531854710683,FALSE,FALSE,6,12,0
"233",0.15,8,34.37,2100,9.52972399540258,TRUE,FALSE,2,2,3
"234",0.15,8,25,2100,14.7769204233785,TRUE,FALSE,3,3,2
"235",0.15,9,30,2100,8.69707559997643,FALSE,FALSE,18,19,0
"236",0.15,9,34.37,2100,9.84954868443903,TRUE,FALSE,3,3,2
"237",0.15,9,25,2100,10.1205437113502,TRUE,FALSE,2,2,3
"238",0.15,10,30,2100,9.23010280328348,FALSE,FALSE,11,11,0
"239",0.15,10,34.37,2100,9.90506759206657,TRUE,FALSE,2,2,3
"240",0.15,10,25,2100,10.4697791675055,FALSE,FALSE,6,12,0
"241",0.2,1,30,210,5.00461265865571,TRUE,FALSE,2,2,3
"242",0.2,1,34.37,210,5.62039797590304,TRUE,FALSE,2,5,0
"243",0.2,1,25,210,5.7232827404598,TRUE,FALSE,4,4,1
"244",0.2,2,30,210,4.44859855978616,TRUE,FALSE,4,4,1
"245",0.2,2,34.37,210,7.23869649085849,TRUE,FALSE,4,4,1
"246",0.2,2,25,210,0.101547955072594,FALSE,FALSE,104,107,0
"247",0.2,3,30,210,3.86398023549273,TRUE,FALSE,4,4,1
"248",0.2,3,34.37,210,3.90324015449384,TRUE,FALSE,4,4,1
"249",0.2,3,25,210,6.06693618089456,FALSE,FALSE,6,11,0
"250",0.2,4,30,210,6.10857737345485,FALSE,FALSE,2,14,0
"251",0.2,4,34.37,210,6.609658260326,TRUE,FALSE,1,1,4
"252",0.2,4,25,210,5.40722621906942,FALSE,FALSE,2,9,0
"253",0.2,5,30,210,4.94775195737662,FALSE,FALSE,8,8,0
"254",0.2,5,34.37,210,5.31289760122535,TRUE,FALSE,2,2,3
"255",0.2,5,25,210,5.21026795058022,TRUE,FALSE,2,2,3
"256",0.2,6,30,210,4.25600423063665,TRUE,FALSE,4,4,1
"257",0.2,6,34.37,210,4.07422948930592,TRUE,FALSE,3,3,2
"258",0.2,6,25,210,5.66383218926464,FALSE,FALSE,7,8,0
"259",0.2,7,30,210,3.88449870495285,TRUE,FALSE,2,4,1
"260",0.2,7,34.37,210,4.42615833308116,TRUE,FALSE,4,5,0
"261",0.2,7,25,210,3.60276455940703,TRUE,FALSE,3,3,2
"262",0.2,8,30,210,4.53411902064174,TRUE,FALSE,2,2,3
"263",0.2,8,34.37,210,4.7486904560518,FALSE,FALSE,10,10,0
"264",0.2,8,25,210,5.44248560275541,TRUE,FALSE,3,3,2
"265",0.2,9,30,210,6.24534179930019,TRUE,FALSE,3,3,2
"266",0.2,9,34.37,210,4.69456361583777,TRUE,FALSE,3,3,2
"267",0.2,9,25,210,3.77460972481356,FALSE,FALSE,6,8,0
"268",0.2,10,30,210,3.34364069634761,FALSE,FALSE,5,6,0
"269",0.2,10,34.37,210,6.82485091066051,TRUE,FALSE,3,4,1
"270",0.2,10,25,210,7.74636701947274,FALSE,FALSE,4,8,0
"271",0.2,1,30,2100,9.0172553041063,TRUE,FALSE,5,5,0
"272",0.2,1,34.37,2100,8.07958689158641,TRUE,FALSE,3,3,2
"273",0.2,1,25,2100,12.3167615689457,TRUE,FALSE,3,4,1
"274",0.2,2,30,2100,10.0749747387304,FALSE,FALSE,8,8,0
"275",0.2,2,34.37,2100,8.71760342290411,TRUE,FALSE,4,4,1
"276",0.2,2,25,2100,10.485042211621,TRUE,FALSE,3,3,2
"277",0.2,3,30,2100,8.52292478635614,TRUE,FALSE,2,2,3
"278",0.2,3,34.37,2100,10.8176164305466,FALSE,FALSE,9,12,0
"279",0.2,3,25,2100,9.92780006561935,TRUE,FALSE,4,4,1
"280",0.2,4,30,2100,10.5606733124188,TRUE,FALSE,2,3,2
"281",0.2,4,34.37,2100,9.15166638637308,TRUE,FALSE,5,5,0
"282",0.2,4,25,2100,8.0981052693317,TRUE,FALSE,3,3,2
"283",0.2,5,30,2100,11.0372274209855,FALSE,FALSE,5,6,0
"284",0.2,5,34.37,2100,11.2357744312369,FALSE,FALSE,5,9,0
"285",0.2,5,25,2100,7.41404601412212,FALSE,FALSE,10,12,0
"286",0.2,6,30,2100,8.97862674311474,TRUE,FALSE,3,5,0
"287",0.2,6,34.37,2100,9.67116973956788,FALSE,FALSE,14,14,0
"288",0.2,6,25,2100,9.78769740806049,TRUE,FALSE,2,2,3
"289",0.2,7,30,2100,13.0789953617425,TRUE,FALSE,4,5,0
"290",0.2,7,34.37,2100,10.160642577421,FALSE,FALSE,5,9,0
"291",0.2,7,25,2100,10.3514897386243,FALSE,FALSE,11,11,0
"292",0.2,8,30,2100,12.3386900881141,TRUE,FALSE,4,4,1
"293",0.2,8,34.37,2100,8.01764674947126,TRUE,FALSE,2,2,3
"294",0.2,8,25,2100,6.7567124171232,FALSE,FALSE,12,16,0
"295",0.2,9,30,2100,9.0816166580901,TRUE,FALSE,3,3,2
"296",0.2,9,34.37,2100,0.0950559248059192,FALSE,FALSE,1000,1047,0
"297",0.2,9,25,2100,11.5733434171979,TRUE,FALSE,2,3,2
"298",0.2,10,30,2100,8.97405782243605,FALSE,FALSE,6,6,0
"299",0.2,10,34.37,2100,11.1548755223921,TRUE,FALSE,3,3,2
"300",0.2,10,25,2100,0.207480303010251,FALSE,FALSE,1000,1051,0
"301",0.25,1,30,210,4.08998658326622,TRUE,FALSE,3,4,1
"302",0.25,1,34.37,210,3.27102387091258,FALSE,FALSE,6,8,0
"303",0.25,1,25,210,4.19326469720515,TRUE,FALSE,2,3,2
"304",0.25,2,30,210,4.46794229615253,FALSE,FALSE,5,7,0
"305",0.25,2,34.37,210,6.11324768516357,TRUE,FALSE,1,1,4
"306",0.25,2,25,210,0.0423620731967103,FALSE,FALSE,102,103,0
"307",0.25,3,30,210,4.99887176639309,TRUE,FALSE,4,5,0
"308",0.25,3,34.37,210,3.66863731736981,TRUE,FALSE,3,3,2
"309",0.25,3,25,210,3.60446852845823,TRUE,FALSE,4,4,1
"310",0.25,4,30,210,5.76941865615711,TRUE,FALSE,2,2,3
"311",0.25,4,34.37,210,5.17177171025989,TRUE,FALSE,3,3,2
"312",0.25,4,25,210,0.85119304530813,FALSE,FALSE,78,80,0
"313",0.25,5,30,210,4.76552923487956,TRUE,FALSE,3,3,2
"314",0.25,5,34.37,210,4.88415490007005,TRUE,FALSE,2,5,0
"315",0.25,5,25,210,4.26609446698203,FALSE,FALSE,10,12,0
"316",0.25,6,30,210,5.28063967384754,FALSE,FALSE,11,14,0
"317",0.25,6,34.37,210,4.08606789425418,TRUE,FALSE,4,4,1
"318",0.25,6,25,210,7.63310988873937,TRUE,FALSE,3,3,2
"319",0.25,7,30,210,0.178248795472341,FALSE,FALSE,103,110,0
"320",0.25,7,34.37,210,3.67241002173198,FALSE,FALSE,8,8,0
"321",0.25,7,25,210,7.16674984888526,TRUE,FALSE,3,3,2
"322",0.25,8,30,210,4.2051475551605,TRUE,FALSE,3,3,2
"323",0.25,8,34.37,210,5.22057011253901,TRUE,FALSE,4,4,1
"324",0.25,8,25,210,4.11867808399087,TRUE,FALSE,2,4,1
"325",0.25,9,30,210,3.93126647288611,TRUE,FALSE,4,4,1
"326",0.25,9,34.37,210,5.07718207622631,FALSE,FALSE,4,12,0
"327",0.25,9,25,210,5.31711457655852,TRUE,FALSE,2,5,0
"328",0.25,10,30,210,4.20559502733654,FALSE,FALSE,8,10,0
"329",0.25,10,34.37,210,5.32541789497693,TRUE,FALSE,2,3,2
"330",0.25,10,25,210,5.06274284173253,TRUE,FALSE,4,4,1
"331",0.25,1,30,2100,10.5851443046629,TRUE,FALSE,3,4,1
"332",0.25,1,34.37,2100,8.2866535283207,FALSE,FALSE,8,8,0
"333",0.25,1,25,2100,9.29940824781514,FALSE,FALSE,15,17,0
"334",0.25,2,30,2100,10.6169855119096,TRUE,FALSE,4,5,0
"335",0.25,2,34.37,2100,8.82223099316718,TRUE,FALSE,3,3,2
"336",0.25,2,25,2100,10.078285392807,FALSE,FALSE,9,9,0
"337",0.25,3,30,2100,7.73651813637662,TRUE,FALSE,3,3,2
"338",0.25,3,34.37,2100,7.70899272624241,TRUE,FALSE,4,4,1
"339",0.25,3,25,2100,9.4891123878963,TRUE,FALSE,2,2,3
"340",0.25,4,30,2100,10.1413462553594,TRUE,FALSE,4,4,1
"341",0.25,4,34.37,2100,8.97591782566398,FALSE,FALSE,10,12,0
"342",0.25,4,25,2100,9.53428358948517,TRUE,FALSE,3,3,2
"343",0.25,5,30,2100,8.42518232211939,FALSE,FALSE,8,10,0
"344",0.25,5,34.37,2100,10.6911237816894,TRUE,FALSE,4,4,1
"345",0.25,5,25,2100,11.9986127008802,TRUE,FALSE,3,4,1
"346",0.25,6,30,2100,8.53975950603533,TRUE,FALSE,3,5,0
"347",0.25,6,34.37,2100,8.60407210050571,FALSE,FALSE,7,7,0
"348",0.25,6,25,2100,8.81638319238833,TRUE,FALSE,2,2,3
"349",0.25,7,30,2100,7.75237882449472,FALSE,FALSE,13,14,0
"350",0.25,7,34.37,2100,6.90610098666204,TRUE,FALSE,3,3,2
"351",0.25,7,25,2100,9.31713803775718,FALSE,FALSE,3,11,0
"352",0.25,8,30,2100,10.4062834076197,TRUE,FALSE,3,3,2
"353",0.25,8,34.37,2100,8.03108711900353,TRUE,FALSE,4,4,1
"354",0.25,8,25,2100,11.9994791135416,TRUE,FALSE,3,3,2
"355",0.25,9,30,2100,10.0729169720367,TRUE,FALSE,2,4,1
"356",0.25,9,34.37,2100,0.178177312117647,FALSE,FALSE,1000,1037,0
"357",0.25,9,25,2100,9.32760637032625,FALSE,FALSE,8,15,0
"358",0.25,10,30,2100,6.7196859022168,FALSE,FALSE,6,7,0
"359",0.25,10,34.37,2100,9.09847313278587,FALSE,FALSE,2,10,0
"360",0.25,10,25,2100,9.27562519479716,TRUE,FALSE,5,5,0
"361",0.3,1,30,210,4.58759002287212,TRUE,FALSE,2,4,1
"362",0.3,1,34.37,210,4.8441067516122,TRUE,FALSE,4,4,1
"363",0.3,1,25,210,3.42551914662769,FALSE,FALSE,13,16,0
"364",0.3,2,30,210,3.85150980150753,TRUE,FALSE,3,4,1
"365",0.3,2,34.37,210,4.14985264297686,TRUE,FALSE,2,2,3
"366",0.3,2,25,210,4.34241113090731,FALSE,FALSE,4,7,0
